keeper,catches,stumpings,total_dismissals,matches_as_keeper,batter,team,matches,innings,dismisals,not_out,runs,balls,fours,sixes,50s,100s,highest_score,strike_rate,average,dismissals_per_match,catches_per_match,stumpings_per_match,runs_score,keeping_score,keeper_score
Shamima Sultana,2,4,6,5,Shamima Sultana,Bangladesh,14,14,14,0,304,540,35,1,2,0,53,56.3,21.71,1.2,0.4,0.8,2.61,1.41,2.01
Shayan Jahangir,19,1,20,14,Shayan Jahangir,United States of America,27,27,23,4,691,774,74,10,3,1,100,89.28,30.04,1.43,1.36,0.07,5.94,4.69,5.32
Sidra Nawaz,43,24,67,39,Sidra Nawaz,Pakistan,53,53,42,11,441,853,38,0,0,0,47,51.7,10.5,1.72,1.1,0.62,3.79,15.73,9.76
T Bhatia,19,10,29,17,T Bhatia,India,11,11,9,2,138,205,13,0,1,0,68,67.32,15.33,1.71,1.12,0.59,1.19,6.81,4.0
T Chetty,67,25,92,53,T Chetty,South Africa,56,56,49,7,1414,2064,125,2,9,0,90,68.51,28.86,1.74,1.26,0.47,12.15,21.6,16.88
T Taibu,87,25,112,64,T Taibu,Zimbabwe,100,100,86,14,2837,4237,196,32,21,2,107,66.96,32.99,1.75,1.36,0.39,24.37,26.29,25.33
TA Blundell,13,2,15,9,TA Blundell,New Zealand,12,12,9,3,266,309,28,2,2,0,68,86.08,29.56,1.67,1.44,0.22,2.29,3.52,2.9
TD Paine,50,4,54,27,TD Paine,Australia,34,34,32,2,861,1250,94,6,5,1,111,68.88,26.91,2.0,1.85,0.15,7.4,12.68,10.04
TL Seifert,10,1,11,4,TL Seifert,New Zealand,3,3,3,0,59,57,3,2,0,0,26,103.51,19.67,2.75,2.5,0.25,0.51,2.58,1.54
TT Beaumont,32,1,33,29,TT Beaumont,England,112,112,103,9,4400,5829,528,24,22,12,168,75.48,42.72,1.14,1.1,0.03,37.8,7.75,22.78
TWM Latham,137,17,154,97,TWM Latham,New Zealand,148,148,130,18,4383,5270,372,59,25,8,145,83.17,33.72,1.59,1.41,0.18,37.65,36.15,36.9
Theertha Satish,6,4,10,8,Theertha Satish,United Arab Emirates,8,8,7,1,219,382,23,0,1,0,66,57.33,31.29,1.25,0.75,0.5,1.88,2.35,2.12
Umar Akmal,75,13,88,50,Umar Akmal,Pakistan,108,108,93,15,3032,3626,257,48,19,1,102,83.62,32.6,1.76,1.5,0.26,26.05,20.66,23.36
V Aravind,38,9,47,29,V Aravind,United Arab Emirates,63,63,60,3,1865,2785,180,16,9,2,115,66.97,31.08,1.62,1.31,0.31,16.02,11.03,13.52
V Krishnamurthy,17,1,18,13,V Krishnamurthy,India,22,22,19,3,410,475,49,4,3,0,70,86.32,21.58,1.38,1.31,0.08,3.52,4.23,3.88
V Shukla,9,3,12,7,V Shukla,Oman,7,7,6,1,144,172,6,7,0,0,46,83.72,24.0,1.71,1.29,0.43,1.24,2.82,2.03
VCE Wattenberg,1,1,2,1,VCE Wattenberg,Netherlands,2,2,2,0,0,3,0,0,0,0,0,0.0,0.0,2.0,1.0,1.0,0.0,0.47,0.24
W Barresi,16,3,19,14,W Barresi,Netherlands,37,37,34,3,882,1184,97,12,3,1,137,74.49,25.94,1.36,1.14,0.21,7.58,4.46,6.02
WP Saha,17,1,18,7,WP Saha,India,5,5,3,2,41,59,5,0,0,0,16,69.49,13.67,2.57,2.43,0.14,0.35,4.23,2.29
YH Bhatia,14,10,24,15,YH Bhatia,India,27,27,27,0,666,953,78,2,4,0,64,69.88,24.67,1.6,0.93,0.67,5.72,5.63,5.68
ZE Green,49,6,55,29,ZE Green,Namibia,40,40,37,3,851,1174,90,9,3,0,75,72.49,23.0,1.9,1.69,0.21,7.31,12.91,10.11
Zulqarnain Haider,1,1,2,1,Zulqarnain Haider,Pakistan,4,4,2,2,48,70,3,0,0,0,19,68.57,24.0,2.0,1.0,1.0,0.41,0.47,0.44
